lvl nrDof nrIterations time eta etaVol etaJumps energy
0 1 4 0.053496 2623.57869762747 2623.57869762747 0 -273.154433971075
1 6 3 0.025189 1242.07860819968 1242.07843255285 0.660556043303435 -567.720446526737
2 17 3 0.003217 643.946034793503 643.945627190878 0.724532967557931 -749.367429225933
3 28 3 0.002959 385.094528269997 385.093857835223 0.718582685897136 -818.12433622222
4 55 4 0.009468 245.549937073774 245.54904529753 0.661778215185086 -851.583238505975
5 99 6 0.003882 159.842140372701 159.84109910556 0.576953769983174 -882.094830247322
6 183 7 0.004913 109.84423594536 109.843170870079 0.483718540628207 -899.262605036734
7 317 11 0.00929 72.5548884083333 72.5534028358102 0.46429396975983 -914.083991929179
8 518 16 0.018008 46.7728104837831 46.7707497882663 0.439049877892231 -927.451751761501
9 838 28 0.040912 30.8172172009947 30.8144840043352 0.410428507600851 -936.032693982461
10 1436 42 0.106376 20.5246296585119 20.5211480847224 0.378026327072542 -944.279333659818
11 2376 61 0.243419 13.6885918910321 13.6841225467193 0.349768617229582 -949.917455072597
12 3882 107 0.659391 9.03805424752925 9.03226404327626 0.323466897564618 -955.619190662778
13 6085 136 1.247283 6.21007633048662 6.20320949348228 0.291958919099338 -959.153196016887
14 8963 171 2.189921 4.51833427536479 4.51028517212271 0.269577985129071 -961.442896803884
15 12794 216 4.047184 3.53349823083976 3.52478329034515 0.248017143462715 -962.92000071517
