lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,diffDiscExactE,gleb,diffGlebExactE,diffGlebDiscreteE
0,8,51,0.050801,2.02322504358624,70.2239745137802,70.2238032150692,0.000171298711071755,0.000189370185936908,2.05822343257694,-1005.26845922365,1003.21042516125,1005.26864859383
1,33,238,0.048971,0.791820738222454,27.2719191721354,21.6249141908226,5.64700498131284,-2.91318045558314,0.855146393192141,-672.891750058895,670.833715996504,669.978569603312
2,121,1675,0.43303,0.588306021631716,10.0666018532628,5.39398760138423,4.67261425187854,-2.5781022452081,0.520068182817099,-459.847335670654,457.789301608263,457.269233425446
3,384,4150,2.229932,0.467661150499178,4.22632800561647,1.78162333561779,2.44470466999868,-2.44164943942786,0.383615377036856,-350.275415761834,348.217381699443,347.833766322406
4,705,5335,4.274541,0.343975847181368,2.68727077896258,1.02959322620477,1.6576775527578,-2.27039693087979,0.212362868488791,-310.359030871793,308.300996809402,308.088633940913
5,1420,12469,19.274521,0.250391389388921,1.67770321547811,0.481994470514273,1.19570874496384,-2.19118856868297,0.133154506291971,-250.935227694337,248.877193631946,248.744039125654
6,2639,17736,50.307635,0.209482892675383,1.11749454479223,0.290945151116677,0.826549393675555,-2.16883507841406,0.110801016023061,-224.659349009677,222.601314947286,222.490513931263
7,5805,23544,158.890558,0.129715997509434,0.675958687145684,0.137284899082002,0.538673788063682,-2.12310082010392,0.0650667577129216,-183.538038465865,181.480004403474,181.414937645761
8,11757,36054,548.255903,0.0977179445247025,0.454413143039891,0.0883055007141596,0.36610764232573,-2.10450819355256,0.0464741311615615,-167.128013914423,165.069979852032,165.02350572087
9,23497,43011,1677.807386,0.0667689170560795,0.309950073228383,0.065131245421754,0.244818827806626,-2.0893640443229,0.0313299819319024,-155.363099689991,153.3050656276,153.273735645668
10,46016,51995,9747.925283,0.0493798301236356,0.205739515327971,0.0282793412636974,0.177460174064272,-2.0808900079552,0.022855945564201,-125.520936821775,123.462902759384,123.440046813819
